Date,Open,High,Low,Close,Adj Close,Volume
2021-11-15,326.666656,331.483337,309.033325,310.916656,308.481873,1696692
2021-11-16,312.883331,313.216675,305.333344,307.316681,304.910095,1338645
2021-11-17,308.233337,314.000000,306.833344,310.250000,307.820465,1042938
2021-11-18,310.250000,318.333344,305.700012,316.549988,314.071106,1435833
2021-11-22,318.433319,319.633331,299.383331,304.216675,301.834351,1254519
2021-11-23,303.133331,314.000000,300.816681,306.350006,303.950989,845523
2021-11-24,309.816681,312.483337,302.000000,305.233337,302.843079,916155
2021-11-25,302.683319,306.666656,297.516663,303.766663,301.387909,955110
2021-11-26,303.766663,305.883331,294.033325,294.616669,292.309540,1048404
2021-11-29,294.333344,295.000000,281.133331,290.816681,288.539307,1211895
2021-11-30,290.683319,301.666656,290.683319,297.149994,294.823029,920211
2021-12-01,298.183319,301.233337,292.333344,296.966675,294.641113,562356
2021-12-02,297.766663,306.000000,294.916656,303.683319,301.305206,844617
2021-12-03,303.683319,303.783325,291.633331,292.716675,290.424438,758649
2021-12-06,292.083344,299.983337,291.049988,295.166656,292.855225,634062
2021-12-07,296.000000,297.633331,289.166656,290.466675,288.192047,629577
2021-12-08,293.333344,298.649994,291.783325,297.299988,294.971832,531195
2021-12-09,299.916656,300.816681,294.733337,297.966675,295.633301,387012
2021-12-10,298.333344,299.399994,293.566681,297.083344,294.756897,662760
2021-12-13,298.566681,305.583344,296.450012,300.733337,298.378326,766452
2021-12-14,301.000000,307.933319,296.816681,302.983337,300.610657,960249
2021-12-15,304.616669,304.983337,298.816681,300.833344,298.477539,507096
2021-12-16,302.783325,302.816681,291.000000,291.649994,289.366089,853641
2021-12-17,291.633331,292.716675,285.766663,288.733337,286.472290,965271
2021-12-20,286.000000,286.000000,273.350006,275.933319,273.772491,1371537
2021-12-21,276.666656,281.399994,272.433319,279.783325,277.592346,1417254
2021-12-22,278.516663,288.316681,278.000000,282.799988,280.585419,575169
2021-12-23,285.666656,285.733337,280.783325,283.200012,280.982300,693582
2021-12-24,283.333344,285.433319,278.516663,279.799988,277.608887,707334
2021-12-27,279.000000,286.149994,275.100006,284.983337,282.751617,928551
2021-12-28,287.000000,293.333344,284.983337,289.933319,287.662872,816864
2021-12-29,290.000000,296.533325,287.299988,295.216675,292.904846,519825
2021-12-30,300.000000,300.133331,285.000000,287.100006,284.851715,661101
2021-12-31,289.100006,299.000000,287.750000,296.100006,293.781281,534300
2022-01-03,295.833344,295.883331,292.666656,293.266663,290.970123,408024
2022-01-04,294.666656,294.833344,291.333344,291.633331,289.349579,294099
2022-01-05,287.850006,293.633331,287.850006,291.666656,289.382629,468198
2022-01-06,291.649994,291.649994,279.666656,280.450012,278.253845,1526382
2022-01-07,278.533325,285.700012,278.533325,283.766663,281.544495,1468203
2022-01-10,284.666656,287.233337,282.666656,283.250000,281.031891,689703
2022-01-11,284.666656,297.566681,279.683319,289.816681,287.547150,2488881
2022-01-12,296.633331,306.566681,295.083344,303.116669,300.742981,4102803
2022-01-13,305.000000,305.666656,300.416656,301.850006,299.486237,713625
2022-01-14,302.733337,310.000000,296.549988,309.549988,307.125946,1262979
2022-01-17,311.083344,317.000000,304.566681,314.166656,311.706451,883974
2022-01-18,316.666656,316.666656,305.000000,307.750000,305.340027,823014
2022-01-19,305.250000,315.666656,305.250000,313.316681,310.863098,2369343
2022-01-20,313.533325,314.000000,310.116669,313.299988,310.846558,737901
2022-01-21,312.200012,312.200012,300.033325,305.283325,302.892670,1091415
2022-01-24,302.000000,304.000000,292.733337,300.216675,297.865692,1497891
2022-01-25,296.666656,297.766663,285.816681,290.899994,288.621979,2078331
2022-01-27,290.950012,295.000000,281.700012,288.000000,285.744690,1798386
2022-01-28,291.700012,300.350006,290.233337,295.500000,293.185944,1165146
2022-01-31,296.616669,303.933319,294.383331,301.616669,299.254730,831891
2022-02-01,303.666656,307.333344,298.766663,305.916656,303.521057,583026
